"","Med_Risk_25_SI_R","Med_Risk_50_ModI_R","Med_Ambig_24_ModI_R","Med_Ambig_74_ModI_R","Med_Risk_75_MajI_R","Med_Ambig_50_MajI_R","Med_Ambig_100_MajI_G","Med_Risk_75_R_R","Med_Ambig_50_SI_B","Med_Risk_50_ModI_B","Med_Ambig_50_MajI_B","Med_Ambig_100_MajI_G.1","Med_Risk_25_R_B","Med_Ambig_100_SI_G","Med_Risk_25_MajI_R","Med_Ambig_24_MajI_R","Med_Risk_25_R_R","Med_Risk_50_SI_B","Med_Risk_75_ModI_B","Med_Ambig_24_ModI_B","Med_Risk_50_MajI_B","Med_Risk_75_R_B","Med_Ambig_50_R_B","Med_Ambig_76_R_B","Med_Ambig_76_SI_R","Med_Risk_25_ModI_R","Med_Ambig_50_ModI_R","Med_Ambig_100_ModI_G","Med_Risk_50_MajI_R","Med_Risk_50_R_R","Med_Ambig_50_R_R","Med_Ambig_76_R_R","Med_Ambig_50_ModI_B","Med_Risk_25_MajI_B","Med_Risk_75_MajI_B","Med_Ambig_24_MI_B","Med_Ambig_74_MajI_B","Med_Ambig_100_R_G","Med_Risk_75_SI_R","Med_Risk_75_ModI_R","Med_Ambig_74_MajI_R","Med_Ambig_24_R_R","Med_Ambig_100_R_G.1","Med_Ambig_24_SI_B","Med_Risk_25_ModI_B","Med_Ambig_74_ModI_B","Med_Ambig_100_ModI_G.1","Med_Risk_50_R_B","Med_Ambig_24_R_R.1"
"69","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1"
"72","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"64","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","0","1","1"
"62","0","1","1","0","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","1","1","1"
"75","0","0","0","0","1","0","1","1","0","0","0","1","0","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","1","1","0"
"61","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","1","1","1","1"
"63","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","0","1","1"
"70","0","1","1","1","1","1","0","1","0","1","1","0","1","0","0","1","0","0","1","1","1","1","1","1","0","0","1","0","1","1","1","1","1","1","1","1","1","0","0","1","1","1","0","0","0","1","0","1","1"
"66","0","1","1","1","1","1","1","1","0","1","1","1","1","0","0","1","0","0","1","1","1","1","1","1","0","0","0","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","0","0","1","1","1","1"
"65","0","1","1","0","1","1","1","1","0","1","1","1","0","0","0","1","0","0","1","0","1","1","1","0","0","0","1","1","1","1","1","0","1","0","1","1","0","1","0","1","0","1","1","0","0","0","0","1","1"
"68","0","0","0","0","1","1","0","1","0","0","1","0","1","0","0","1","0","0","1","0","1","1","1","1","0","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","0","0","0","0","1","1"
"67","0","1","1","0","1","1","0","1","0","1","0","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","1","0","1","0","0","0","0","0","1","1"
"71","0","0","1","1","1","0","1","1","0","0","1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","0","0","0","1","1","1","1","1","0","1","1","1","1","0","1","0","1","1","0","0","0","0","1","1"
"76","0","1","1","1","1","1","0","1","0","1","1","0","1","0","1","1","1","0","1","1","1","1","1","1","0","0","1","0","1","1","1","1","0","1","1","1","1","0","0","1","1","1","0","0","1","1","0","1","1"
"81","0","1","1","1","1","1","0","1","0","1","1","0","1","0","1","1","1","0","1","1","1","1","1","1","0","0","1","0","1","1","1","1","1","0","1","1","1","0","0","1","1","1","0","0","0","1","0","1","1"
"73","0","1","1","0","1","1","1","1","1","0","1","1","0","0","0","1","0","0","0","1","1","1","1","1","0","0","1","1","0","1","1","1","1","0","1","1","1","1","0","1","1","0","1","0","0","0","1","1","1"
"74","0","1","0","0","1","0","1","0","0","0","0","1","0","0","0","1","1","0","0","0","0","1","1","1","0","0","0","0","0","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"77","0","0","0","1","1","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","1","1","0","1","0","0","0","0","0","0"
"78","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1"
"88","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"90","0","0","1","1","1","1","0","1","0","0","1","0","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","0","1","1","1","1","1","1","1","1","1","0","0","1","1","1","0","0","0","1","0","1","1"
"84","0","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1"
"83","0","1","1","1","1","1","1","1","0","1","1","1","1","0","0","1","1","0","1","1","1","1","1","1","0","0","0","0","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","0","0","1","1","1","1"
"82","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1"
"85","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0"
"86","0","0","0","0","1","1","1","1","0","0","1","1","0","0","0","1","0","0","1","0","0","1","1","1","0","0","0","0","1","1","1","0","1","0","1","1","1","0","0","0","1","1","1","0","0","1","1","1","1"
"87","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","0","0","1","1","1","1"
"89","0","0","1","0","1","0","1","1","0","0","1","1","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","0","1","1","1","1","0","0","1","1","1","1","0","1","1","1","0","0","0","0","0","1","1"
"93","0","1","1","0","1","1","0","1","0","1","1","0","0","0","1","1","1","0","1","1","1","1","1","1","1","0","0","0","1","1","1","1","0","0","1","1","1","0","0","1","1","1","0","1","0","0","0","1","1"
"91","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","0","0","1","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1"
"92","0","0","1","1","1","1","1","1","0","0","1","1","0","0","0","1","1","0","1","0","1","1","1","0","0","0","0","1","1","1","1","1","0","0","1","1","1","1","0","1","1","1","1","0","0","0","1","1","1"
"96","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","0","1","1"
"95","0","1","1","1","1","1","0","1","0","1","1","0","1","0","0","1","0","0","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1","1","1","1","1","0","0","1","1","1","0","0","0","1","0","1","1"
"97","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","0","0","0","0","1","1","1","0","0","1","1","1","0","1","1","1","1","0","0","0","1","0","0","1"
"98","0","0","0","0","1","1","1","1","0","0","1","1","1","0","0","1","0","0","1","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","1","1","0","0","0","1","1","1","0","0","0","0","0","1","1"
"99","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","1","0"
"100","0","0","0","0","1","1","0","1","0","0","1","0","0","0","1","1","1","0","0","0","1","1","1","0","0","0","0","0","1","1","1","0","0","1","1","1","0","0","0","0","0","1","0","0","0","0","0","1","1"
"101","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","1","0","0","1","0","1","0","0","1","1","0","0","0","0"
"103","0","1","1","0","1","1","1","1","0","1","1","0","1","0","0","1","0","0","1","1","1","1","1","1","0","0","0","0","1","1","1","1","0","0","1","1","1","1","0","1","0","1","1","0","0","0","0","1","1"
"102","0","1","1","1","1","1","0","1","0","1","1","0","1","0","1","1","1","0","1","1","1","1","1","1","0","0","1","0","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","0","0","1","0","1","1"
"104","0","1","1","1","1","1","0","1","0","1","1","0","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","0","1","1","1","1","1","0","1","1","1","0","0","1","1","1","0","0","0","1","0","1","1"
"107","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","1","0","0","1","0","1","1","1","1","0","0","0","0","1","1","1","1","0","0","1","1","0","1","0","1","1","1","1","0","0","0","0","1","1"
"106","0","0","0","0","1","0","1","1","0","0","0","1","0","0","0","1","0","0","1","0","1","1","1","1","0","0","0","0","0","1","1","1","0","0","1","1","0","1","0","1","0","1","1","0","0","0","0","1","1"
"108","0","1","0","0","1","0","0","1","0","1","0","0","0","0","0","1","0","0","1","0","1","1","0","0","0","0","1","0","1","1","1","0","0","0","1","1","0","0","0","1","0","1","0","0","0","0","0","1","1"
"109","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"110","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"119","0","1","0","1","0","1","0","0","0","1","0","0","1","0","1","0","1","1","0","0","1","0","1","0","0","1","1","0","1","1","0","0","1","1","0","1","1","0","1","0","0","1","0","0","1","0","0","1","1"
"132","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"121","0","1","1","0","1","1","1","1","0","1","1","1","1","0","0","1","1","0","1","1","1","1","1","1","0","0","1","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","1","0","1","1"
"117","0","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","1","1","1","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"118","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"115","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1"
"114","1","1","1","1","1","1","0","1","0","0","0","0","0","0","1","1","1","0","0","0","1","0","0","0","1","1","1","0","1","1","1","1","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0"
"127","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"116","0","1","0","0","1","0","1","1","0","1","1","0","1","0","0","0","1","0","1","0","1","1","1","1","0","0","0","0","1","1","1","1","0","0","1","1","0","0","0","1","0","1","1","0","0","0","0","1","1"
"111","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","1"
"133","0","1","1","1","1","1","1","1","0","1","1","1","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","0","0","1","1","1","1"
"122","0","1","1","0","1","0","0","1","0","1","0","0","0","0","0","1","0","0","1","1","1","1","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","1","0","1","0","1","0","0","0","1","1"
"125","0","1","1","1","1","1","1","1","0","1","1","1","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","0","0","1","1","1","1"
"123","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"120","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1"
"124","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"126","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","0","0","0","1","0","1","1","1","1","0","0","1","1","0","0","0","1","0","1","0","0","0","0","0","1","1"
"128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"129","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","0","1","1","1","1"
"131","0","1","1","1","1","1","0","1","1","1","1","0","1","0","0","1","1","0","1","1","1","1","1","1","0","0","1","0","1","1","1","0","0","0","1","1","1","0","0","1","1","1","0","1","1","1","0","1","1"
"130","0","1","1","0","1","1","1","1","0","1","1","1","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","1","1","1","1","1","0","0","1","1","1","1","0","1","0","1","1","0","0","0","0","1","1"
"134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"149","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1"
"136","0","1","0","0","1","1","0","1","0","1","1","0","0","0","0","1","0","0","1","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","1","0","1","0","0","0","0","0","1","1"
"135","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1"
"137","0","1","1","0","1","0","1","1","0","1","1","0","0","0","0","1","0","0","1","1","1","1","0","0","0","0","1","0","1","1","0","1","0","0","1","1","1","0","0","1","0","1","1","0","0","0","0","1","1"
"139","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"138","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","1","0","1","1","1","0","0","0","0","0","1","1","0","0","0","0","1","1","1","0","0","1","1","1","0","0","0","0","0","1","1"
"140","0","1","0","0","1","1","0","1","0","1","1","0","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","0","1","1","1","1","0","0","1","1","1","1","0","1","1","1","1","0","0","0","0","1","1"
"141","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1"
"142","0","1","1","0","1","1","0","1","0","1","1","0","1","0","1","1","1","0","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","0","0","1","1"
"143","1","0","1","1","0","0","0","1","0","0","1","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","1","0","1","1","0","0","0","0","0","0","1","0","0","0","0","1","1","0"
"144","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","1","0","1","0","0","0","0","0","1","1"
"146","0","1","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0"
"147","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"150","0","1","1","1","1","1","0","1","1","1","1","0","0","0","0","1","0","0","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1","1","1","1","1","0","0","1","1","1","0","0","0","1","0","1","1"
"153","0","1","1","0","1","1","0","1","1","1","1","0","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","0","1","1","1","0","1","0","1","1","0","0","0","1","0","1","0","0","0","0","0","1","1"
"148","0","1","1","0","1","1","1","1","0","1","1","0","1","0","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","1","1"
"151","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"152","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1"
"155","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"154","0","1","1","1","1","1","1","1","0","1","1","1","0","0","1","1","1","0","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","0","1","1","0","0","0","1","1","1"
"156","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"157","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"158","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1"
"159","0","1","1","0","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","1","1","1","1"
"160","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"172","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","1","0"
"167","0","1","1","0","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","1","0","1","1"
"164","0","1","1","0","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","1","1","1","1"
"161","0","1","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0"
"171","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1"
"182","0","1","0","1","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1"
"175","0","1","1","0","1","0","0","1","0","1","0","0","1","0","0","1","0","0","1","1","0","1","1","0","0","0","0","0","1","1","1","0","0","0","1","1","0","0","0","1","0","1","0","0","0","0","0","1","1"
"168","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"162","0","0","1","1","1","1","0","1","1","0","1","0","0","0","0","0","0","0","1","0","1","1","1","1","1","0","1","0","0","1","1","1","1","0","1","0","0","1","0","1","1","1","0","0","0","1","0","1","1"
"166","0","0","0","0","1","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","1","1","1","1","0","0","0","0","1","1","1","1","0","0","1","0","1","0","0","1","1","0","0","0","0","0","0","1","0"
"165","0","1","1","0","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","0","0","1","1"
"174","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"170","0","1","1","0","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","0","0","1","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","1","0","1","1"
"173","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","1","0","1","0","0","0","0","0","1","1"
"179","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"169","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"163","0","1","1","1","1","0","1","1","0","1","1","1","1","0","0","1","1","0","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","0","1","1","0","1","0","1","0","1","1","0","0","0","1","1","1"
"176","0","1","1","1","1","1","1","1","0","1","1","1","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","0","1","1","1","0","0","1","1","1","1","0","0","1","1","1","1"
"184","0","1","1","0","1","1","1","1","0","0","1","0","1","0","1","1","1","0","1","1","1","1","1","1","0","0","0","0","1","1","1","1","1","0","1","1","1","0","0","1","1","1","1","1","0","1","0","1","1"
"177","0","1","1","1","1","1","0","1","0","1","1","0","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","0","1","1","1","0","0","0","1","1","0","0","0","1","0","1","0","0","0","1","0","1","1"
"178","0","1","1","1","1","1","1","1","0","1","0","1","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","1","0","1","1","1","0","0","0","1","0","0","1","1","0","1","0","0","1","0","0","0"
"180","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"183","0","1","1","1","1","1","1","1","0","1","1","1","1","0","0","1","0","0","1","1","1","1","1","1","0","0","1","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","1","1","1","1"
"181","0","0","0","0","1","1","0","1","0","1","1","0","0","0","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","1","1","0","1","0","1","1","1","1","0","1","1","1","0","0","0","0","0","1","1"
"186","0","0","0","0","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","0","1","1","1","1","0","0","1","0","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","0","0","1","1","1","1"
"185","0","1","1","0","1","1","1","1","0","1","1","1","1","0","0","1","1","0","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","1","0","1","1"
"187","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","0","0","0","0","0","0","0"
"189","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","0","0","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","0","1","0","1","1","0","0","1","1","1","0","0","0","1","1","1"
"188","0","1","1","1","1","1","1","1","0","1","1","1","0","0","0","1","0","0","1","0","1","1","1","1","0","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","0","0","1","0","1","1"
"190","0","0","0","0","1","1","1","1","0","0","1","1","0","0","0","1","0","0","1","0","1","1","1","1","0","0","0","0","0","1","1","1","0","0","1","1","0","1","0","1","1","1","1","0","0","0","0","1","1"
"195","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1"
"200","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","0","1","1","1","1","0","0","0","0","1","1","1","1","0","0","1","1","1","1","0","1","1","1","1","0","0","1","1","1","1"
"194","0","1","1","0","1","0","0","1","0","1","0","0","0","0","0","1","0","0","1","1","1","1","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","1","0","1","0","0","0","0","0","1","1"
"193","0","1","1","0","1","1","1","1","1","1","1","0","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","0","1","1","1","0","0","0","1","0","0","0","0","1","1","1","0","1","0","0","0","1","1"
"191","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1"
"192","0","1","1","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","1","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","1","0","1","0","0","0","0","0","1","1"
"196","0","1","1","0","1","1","0","1","0","1","1","0","1","0","0","1","1","0","1","0","1","1","1","1","0","0","0","0","1","1","1","1","0","0","1","1","0","0","0","1","0","1","0","0","0","0","0","1","1"
